loss,mae,mse,val_loss,val_mae,val_mse,epoch
0.034643806517124176,0.18073052167892456,0.034643806517124176,0.0031822046730667353,0.05616598576307297,0.0031822046730667353,0
0.002941640792414546,0.05339248478412628,0.002941640792414546,0.0002958061813842505,0.016710978001356125,0.0002958061813842505,1
0.0002532318467274308,0.015383973717689514,0.0002532318467274308,1.4304838259704411e-05,0.002849251963198185,1.4304838259704411e-05,2
9.108161975746043e-06,0.002488034078851342,9.108161975746043e-06,6.883731657580938e-06,0.001434831996448338,6.883731657580938e-06,3
2.8190370358061045e-06,0.0010999582009389997,2.8190370358061045e-06,5.233632691670209e-06,0.0015953505644574761,5.233632691670209e-06,4
2.1793721316498704e-06,0.0011227087816223502,2.1793721316498704e-06,5.012547717342386e-06,0.0016782614402472973,5.012547717342386e-06,5
2.284893525938969e-06,0.001232677255757153,2.284893525938969e-06,4.2238866626576055e-06,0.0014906690921634436,4.2238866626576055e-06,6
1.6804818869786686e-06,0.0009735491476021707,1.6804818869786686e-06,3.496496674415539e-06,0.0012086688075214624,3.496496674415539e-06,7
1.3333713013707893e-06,0.0008579210843890905,1.3333713013707893e-06,2.544362359913066e-06,0.0013372211251407862,2.544362359913066e-06,8
1.227377651957795e-06,0.0009080239688046277,1.227377651957795e-06,2.3464274363504956e-06,0.0009962179465219378,2.3464274363504956e-06,9
1.2830978448619135e-06,0.0008635020349174738,1.2830978448619135e-06,1.8759114936983678e-06,0.0008971120114438236,1.8759114936983678e-06,10
8.61745604652242e-07,0.0007233702344819903,8.61745604652242e-07,1.6570021443840233e-06,0.0008465763530693948,1.6570021443840233e-06,11
7.272022344295692e-07,0.0006908047944307327,7.272022344295692e-07,2.404340193606913e-06,0.0013185060815885663,2.404340193606913e-06,12
2.0266202227503527e-06,0.0012067529605701566,2.0266202227503527e-06,2.3148240870796144e-06,0.0013437271118164062,2.3148240870796144e-06,13
1.9000869997398695e-06,0.0011860111262649298,1.9000869997398695e-06,3.0543787943315692e-06,0.0016133412718772888,3.0543787943315692e-06,14
3.536937128956197e-06,0.0016727173933759332,3.536937128956197e-06,4.33470013376791e-05,0.006496300920844078,4.33470013376791e-05,15
4.915382305625826e-05,0.006848996505141258,4.915382305625826e-05,0.00011962918506469578,0.01089577004313469,0.00011962918506469578,16
0.00013801100431010127,0.011448121629655361,0.00013801100431010127,0.0004419282777234912,0.02086399495601654,0.0004419282777234912,17
0.00043057609582319856,0.02059514820575714,0.00043057609582319856,0.0002166080812457949,0.014584858901798725,0.0002166080812457949,18
0.0001979921798920259,0.013929244130849838,0.0001979921798920259,4.593182893586345e-05,0.006703413091599941,4.593182893586345e-05,19
3.999149703304283e-05,0.006200945936143398,3.999149703304283e-05,5.5310116295004264e-05,0.007309682667255402,5.5310116295004264e-05,20
4.7015339077915996e-05,0.006722614634782076,4.7015339077915996e-05,4.639028702513315e-05,0.006651831325143576,4.639028702513315e-05,21
4.0465700294589624e-05,0.006183553021401167,4.0465700294589624e-05,5.81004933337681e-05,0.007482158485800028,5.81004933337681e-05,22
5.520172635442577e-05,0.007242759224027395,5.520172635442577e-05,8.437271026195958e-05,0.00909099355340004,8.437271026195958e-05,23
8.794487075647339e-05,0.009144093841314316,8.794487075647339e-05,0.00035796978045254946,0.018687887117266655,0.00035796978045254946,24
0.0004687324690166861,0.020503904670476913,0.0004687324690166861,0.0005320950294844806,0.022707246243953705,0.0005320950294844806,25
0.0005428231088444591,0.022874725982546806,0.0005428231088444591,0.0006645845714956522,0.02543998509645462,0.0006645845714956522,26
0.0006179475458338857,0.02451379969716072,0.0006179475458338857,5.474325007526204e-05,0.007299364544451237,5.474325007526204e-05,27
4.723522943095304e-05,0.006718422751873732,4.723522943095304e-05,1.8426761016598903e-05,0.004158284980803728,1.8426761016598903e-05,28
1.630342740099877e-05,0.0038314524572342634,1.630342740099877e-05,1.8137579900212586e-05,0.004090478643774986,1.8137579900212586e-05,29
1.8161093976232223e-05,0.004045700654387474,1.8161093976232223e-05,2.626334571687039e-05,0.00503780459985137,2.626334571687039e-05,30
2.64413065451663e-05,0.00500203762203455,2.64413065451663e-05,4.811561302631162e-05,0.006879178807139397,4.811561302631162e-05,31
5.066093581262976e-05,0.0069765630178153515,5.066093581262976e-05,0.0002227348741143942,0.014770948328077793,0.0002227348741143942,32
0.00023014222097117454,0.014941815286874771,0.00023014222097117454,0.0005770271527580917,0.023746998980641365,0.0005770271527580917,33
0.0005742041976191103,0.02377953752875328,0.0005742041976191103,8.422364044236019e-05,0.009045443497598171,8.422364044236019e-05,34
8.584801253164187e-05,0.009086832404136658,8.584801253164187e-05,0.00029806254315190017,0.01721196062862873,0.00029806254315190017,35
0.0002743899531196803,0.016492918133735657,0.0002743899531196803,8.3152212027926e-05,0.009040672332048416,8.3152212027926e-05,36
7.004435610724613e-05,0.008258866146206856,7.004435610724613e-05,2.8226424547028728e-05,0.005139078479260206,2.8226424547028728e-05,37
2.2106918549980037e-05,0.004523806273937225,2.2106918549980037e-05,1.3249030416773167e-05,0.003291553817689419,1.3249030416773167e-05,38
1.177037938759895e-05,0.0030964163597673178,1.177037938759895e-05,5.602364399237558e-05,0.007416432723402977,5.602364399237558e-05,39
5.407359640230425e-05,0.007200879510492086,5.407359640230425e-05,0.00017675083654467016,0.013256454840302467,0.00017675083654467016,40
0.0001714309910312295,0.01303087081760168,0.0001714309910312295,0.00011473822814878076,0.010472812689840794,0.00011473822814878076,41
0.00011370555148459971,0.010424765758216381,0.00011370555148459971,0.000216752290725708,0.014644084498286247,0.000216752290725708,42
0.00021927134366706014,0.014650773257017136,0.00021927134366706014,0.0002256506704725325,0.014934531413018703,0.0002256506704725325,43
0.00022859607997816056,0.014977214857935905,0.00022859607997816056,0.0002439752424834296,0.015579503029584885,0.0002439752424834296,44
0.00023534880892839283,0.015283116139471531,0.00023534880892839283,0.0002090382040478289,0.014379128813743591,0.0002090382040478289,45
0.00018781746621243656,0.013624603860080242,0.00018781746621243656,0.00013642852718476206,0.011488591320812702,0.00013642852718476206,46
0.00012206238170620054,0.0108407661318779,0.00012206238170620054,2.6209996576653793e-05,0.004891326185315847,2.6209996576653793e-05,47
2.04800544452155e-05,0.004331150092184544,2.04800544452155e-05,1.6093104932224378e-05,0.003879890777170658,1.6093104932224378e-05,48
