Australia,Argentina,Austria,Brazil,Canada,Colombia,Ecuador,"Egypt, Arab Rep.",Finland,France,Germany,Hungary,Indonesia,India,"Iran, Islamic Rep.",Italy,China,Japan,"Korea, Rep.",Malaysia,Morocco,Pakistan,Portugal,Poland,Philippines,Romania,Russian Federation,South Africa,Slovenia,Spain,Slovak Republic,Serbia,Turkiye,United Kingdom,Uzbekistan,United States,Ukraine,Thailand,Sweden,Belgium,Mexico,var_meas
0.158378957,0.126251098,0.118078001,0.181196253,0.174331005,0.109773103,0.101957833,0.111465369,0.111456026,0.22672084,0.269658346,0.104517442,0.128767293,0.168186701,0.118846823,0.207810515,0.411872245,0.337908334,0.16069597,0.109545769,0.101750986,0.109513779,0.109577467,0.118436223,0.109074295,0.106592618,0.166023112,0.114394217,0.100378947,0.165863754,0.102048628,0.1,0.130532656,0.248207639,0.100626325,1,0.104461959,0.115594607,0.122770999,0.121586836,0.153451979,0.148907431
0.160353625,0.127253932,0.118237167,0.185227654,0.174903781,0.110035015,0.102094183,0.112302707,0.111434779,0.226795535,0.271004219,0.104463831,0.130471071,0.170162464,0.118764214,0.20652263,0.441675813,0.33459904,0.162402802,0.109979387,0.101858076,0.109585167,0.109489717,0.119160077,0.109431663,0.10727209,0.169370941,0.114787476,0.100348474,0.166278837,0.102158836,0.1,0.13064998,0.247699294,0.100750273,1,0.104488138,0.115766949,0.122520208,0.121554329,0.153912835,0.150046143
0.163224316,0.126255419,0.117996402,0.187449356,0.174646596,0.11050509,0.102234525,0.113383649,0.110674964,0.226436081,0.265506776,0.104195878,0.132893725,0.177930511,0.119541026,0.203534285,0.484031051,0.327082746,0.164653401,0.110117354,0.102141468,0.110241557,0.109430257,0.120350497,0.109915228,0.106993203,0.165556024,0.114974787,0.100225227,0.165464481,0.102035853,0.1,0.129904438,0.24476259,0.101068579,1,0.103638641,0.116120691,0.122082614,0.121698002,0.152370031,0.151729654
0.16294287,0.128344955,0.117865791,0.191689575,0.174968757,0.110765349,0.102310166,0.113792397,0.110775001,0.225520784,0.267941119,0.104136157,0.134131868,0.182480119,0.120232963,0.202546429,0.513857023,0.330213239,0.167354705,0.110720317,0.102228454,0.110149363,0.109361544,0.120440028,0.110498324,0.106446719,0.166774422,0.115070248,0.100234937,0.163827055,0.102239397,0.1,0.131727601,0.244398331,0.101261857,1,0.103757213,0.117014752,0.122887217,0.121774113,0.153687073,0.153365745
0.16347246,0.129670182,0.118125776,0.193919623,0.176171431,0.111438815,0.102573964,0.113816115,0.110891517,0.226319949,0.271910129,0.104145625,0.135770132,0.185545257,0.120464068,0.201669377,0.546623725,0.326714709,0.168806007,0.111182736,0.102375641,0.110283919,0.108985577,0.121205064,0.110774583,0.106686222,0.168630138,0.115333937,0.100209163,0.162283055,0.102277229,0.1,0.134931657,0.24369421,0.101449097,1,0.103971548,0.116871398,0.12328218,0.12179833,0.154838319,0.155157447
0.164568358,0.128701815,0.117868946,0.193636615,0.17583037,0.111714871,0.102788209,0.113867524,0.110484424,0.223902009,0.268791399,0.103990564,0.137216677,0.188321407,0.119193783,0.196385503,0.571146556,0.324733651,0.168946641,0.11165741,0.102468213,0.110492521,0.10835889,0.121096883,0.111415718,0.106716038,0.169891855,0.115413416,0.100158888,0.159041681,0.102296732,0.1,0.135898035,0.242559111,0.101677131,1,0.103905761,0.117851417,0.122629495,0.121497528,0.15565339,0.156523026
0.165030779,0.128851527,0.117493249,0.194710325,0.176183666,0.112138727,0.102914401,0.113900475,0.110126239,0.222318806,0.266418689,0.103967286,0.138628672,0.192334458,0.118471845,0.192807267,0.598663008,0.325081328,0.169849275,0.112020194,0.102566448,0.110786077,0.108055779,0.120852489,0.112043472,0.106560015,0.169811385,0.115503031,0.10007588,0.157075616,0.102224265,0.1,0.138352836,0.242510149,0.101855184,1,0.103779943,0.117995955,0.12245054,0.121157441,0.155357319,0.158263933
0.165294237,0.127476539,0.117258923,0.193092739,0.176700502,0.112522693,0.103065238,0.114075365,0.109887438,0.220767244,0.266353494,0.104159605,0.139784864,0.197131307,0.119089654,0.190751456,0.623847338,0.320717764,0.17056428,0.112609133,0.103402331,0.111162983,0.107985273,0.121275763,0.112680305,0.106791992,0.168793358,0.115429728,0.100163996,0.156633105,0.102319311,0.1,0.13947527,0.243864653,0.10210865,1,0.103151675,0.117816958,0.122615343,0.121072723,0.155746048,0.159855481
0.164947708,0.127500493,0.116959016,0.187320859,0.175148088,0.112575065,0.102954415,0.114352875,0.109654688,0.218877907,0.264377233,0.104236752,0.140683893,0.202251534,0.118259089,0.189026263,0.646048014,0.318246593,0.170652856,0.11296511,0.103505521,0.111439281,0.107913763,0.121672459,0.113217348,0.10684803,0.165585086,0.115212094,0.100170997,0.157295498,0.102439697,0.1,0.14085543,0.243434409,0.102305705,1,0.102545226,0.117916432,0.123059266,0.120940439,0.156092151,0.161329101
0.165617432,0.126382965,0.116987261,0.182950203,0.174613265,0.112603277,0.102782206,0.114751115,0.109753488,0.218169962,0.265271243,0.104237155,0.142064946,0.20897716,0.119649307,0.188662419,0.673964742,0.316243108,0.171536967,0.113341875,0.103411675,0.111916224,0.107915957,0.121939949,0.114004181,0.106919143,0.164575902,0.115010896,0.100170731,0.158064013,0.102419469,0.1,0.141521934,0.244119118,0.10245263,1,0.102547336,0.118230464,0.123127025,0.120818598,0.156611841,0.163361777
0.165646607,0.126545678,0.11699305,0.182189111,0.175213699,0.112479957,0.102790859,0.115071492,0.109865445,0.218230527,0.265990562,0.104363673,0.143286253,0.213921924,0.119761365,0.18815587,0.700472016,0.315035789,0.172199531,0.113880292,0.103563381,0.112217051,0.108041275,0.122621134,0.11474074,0.107441147,0.164307499,0.114833282,0.100228043,0.15849767,0.102452281,0.1,0.143763483,0.244409607,0.102549086,1,0.102555325,0.118616125,0.123209813,0.120682407,0.15654059,0.165370842
0.165577813,0.1249743,0.116867682,0.181211807,0.175059925,0.112396772,0.102683948,0.115434663,0.109627726,0.216942756,0.262760894,0.104483072,0.144238091,0.217846356,0.1186332,0.186360171,0.722727155,0.310034633,0.172144542,0.114143375,0.10353997,0.112630073,0.108002156,0.123309181,0.115263304,0.107694011,0.164190651,0.114571133,0.100230603,0.158081224,0.102469207,0.1,0.143750256,0.242620359,0.102625497,1,0.102549385,0.118842494,0.122936863,0.120399209,0.156085767,0.167014893
0.165459114,0.123801388,0.116684605,0.180301458,0.174710346,0.112482824,0.102538697,0.115952011,0.109465988,0.216382603,0.26073376,0.104606028,0.145432116,0.219502891,0.117593524,0.184758702,0.745044709,0.304748804,0.172070867,0.114438575,0.10353226,0.112619431,0.108000259,0.123803759,0.115869964,0.107802128,0.164090829,0.11420845,0.100215793,0.157861074,0.102438895,0.1,0.143035804,0.241610539,0.102740542,1,0.102549649,0.118773892,0.122822353,0.120348058,0.154631429,0.168742056
0.167309271,0.121853915,0.115934905,0.179324322,0.172727397,0.111803336,0.102261539,0.117087478,0.109493537,0.210236458,0.25914574,0.104444546,0.145737843,0.214681916,0.118787659,0.179121874,0.778361403,0.301018971,0.173603947,0.113930006,0.103238419,0.112805983,0.10738827,0.123964152,0.114585866,0.107670556,0.164124846,0.11357118,0.100139766,0.152549578,0.102371294,0.1,0.145181896,0.22936672,0.102931083,1,0.102463417,0.118000473,0.122936723,0.119711489,0.151550252,0.171415343
0.164849445,0.122829795,0.115667148,0.178276024,0.171705966,0.112393027,0.102159268,0.116581813,0.109136615,0.211132213,0.254068537,0.104485272,0.144689597,0.217669892,0.11851474,0.179699878,0.792254946,0.29277199,0.172288247,0.113466774,0.10330673,0.112850792,0.107315167,0.124155137,0.114516335,0.107560958,0.163347632,0.113387034,0.100155893,0.152299857,0.102215674,0.1,0.147565453,0.23129946,0.102969407,1,0.102321881,0.117132027,0.122699931,0.119719108,0.150899841,0.172500206
