Algeria,Argentina,Austria,Bahamas,Bangladesh,Belgium,Belize,Benin,Bermuda,Bolivia,Botswana,Brazil,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Congo,Congo2,Costa Rica,Cote dIvoire,Denmark,Dominican Republic,Ecuador,Egypt,Fiji,Finland,France,Gabon,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Iran,Italy,Japan,Kenya,Korea Rep,Lesotho,Luxembourg,Madagascar,Malawi,Malaysia,Mexico,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Portugal,Puerto Rico,Rwanda,Senegal,Seychelles,Sierra Leone,Singapore,South Africa,Spain,St Vincent,Sudan,Suriname,Sweden,Thailand,Togo,Trinidad and Tobago,Turkiye,United Kingdom,United States,Uruguay,Zambia,Zimbabwe,Australia
0.490309244,0.660710982,0.655264947,0.620281941,0.549012091,0.643941606,0.643670808,0.588949685,0.638445423,0.654743411,0.862936424,0.717728868,0.618135622,0.631515016,0.638866663,0.615297264,0.581417507,0.698472168,0.674772385,0.66374993,0.66419123,0.681722851,0.671954087,0.698813172,0.634102636,0.71299493,0.667079735,0.644653703,0.673057335,0.627603499,0.657290912,0.706856856,0.656277929,0.682605449,0.659968797,0.635185825,0.668955257,0.644031872,0.620442414,0.674411322,0.741388533,0.622197582,0.651092662,0.826358723,0.709735332,0.655254917,0.630712654,0.643369923,0.766632863,0.704610241,0.641694991,0.591978604,0.647261381,0.637111495,0.660921602,0.746764362,0.660851396,0.608657714,0.700407868,0.667099794,0.659507439,0.650009472,0.658013038,0.670479746,0.667801861,0.616069538,0.602559759,0.762952025,0.63872625,0.728460467,0.646880259,0.650591185,0.633731543,0.626500251,0.643079066,0.613441801,0.65305845,0.603963894,0.614394606,0.659798295,0.639117401,0.636991141,0.601436452,0.603101354,0.693407255,0.644092049
0.879013763,0.620291971,0.666227225,0.568890622,0.463811222,0.657080292,0.706445646,0.668413662,0.622147434,0.68386917,0.8683624,0.723716499,0.627142141,0.539734775,0.630782861,0.603953864,0.615497855,0.593733772,0.642176408,0.68088037,0.605478353,0.690398395,0.685985401,0.646459018,0.643369923,0.708210843,0.654292082,0.634614142,0.679034936,0.681542319,0.64920711,0.717668691,0.57901042,0.705863933,0.677510447,0.570685909,0.613762746,0.661754054,0.598417563,0.674551736,0.749382069,0.640972865,0.688352371,0.775288349,0.676316933,0.601927899,0.670138742,0.5911963,0.666457904,0.698121134,0.686496908,0.635235973,0.639408258,0.626239483,0.552151334,0.637703237,0.657431326,0.612117903,0.649929236,0.660570569,0.670469716,0.638846604,0.658424249,0.684360617,0.675915752,0.60660166,0.667982393,0.667230178,0.612990472,0.737517134,0.620562768,0.685704575,0.863036719,0.55310414,0.597946175,0.626921491,0.646880259,0.680439071,0.661934585,0.678443194,0.647311528,0.656709199,0.590724912,0.696325848,0.68750989,0.643179361
0.642206497,0.632166936,0.653008302,0.679867387,0.637322115,0.667972363,0.657641946,0.641133337,0.618847718,0.661523374,0.817623001,0.744066418,0.608467153,0.673057335,0.657682064,0.622909678,0.519906391,0.55352538,0.681793057,0.671392433,0.685574191,0.686516967,0.681281551,0.663529281,0.645014766,0.733304731,0.743885886,0.63913746,0.720436842,0.674010141,0.66760127,0.706084582,0.632899092,0.685122862,0.671994205,0.61645066,0.651654315,0.682896306,0.637021229,0.685243216,0.678603666,0.675434334,0.684531119,0.66310804,0.753383852,0.86879367,0.687339388,0.57770658,0.627041845,0.721319441,0.68280604,0.599179807,0.658564663,0.668323397,0.432980442,0.658053157,0.64942776,0.674812503,0.6577623,0.669446704,0.677209561,0.666919262,0.692043238,0.716304675,0.66760127,0.638445423,0.54796902,0.694771271,0.626600546,0.710307015,0.649818911,0.682073884,0.492626066,0.610302558,0.585910737,0.643761074,0.706626177,0.642447206,0.620572798,0.636680225,0.669396557,0.660590628,0.606722015,0.594315484,0.630090823,0.630231236
0.679135232,0.65946732,0.643500306,0.435929125,0.700167159,0.649748705,0.739964339,0.637452499,0.612759793,0.633450716,0.692203711,0.685744693,0.687068591,0.596672424,0.711620884,0.667541093,0.653730428,0.627854237,0.627132111,0.661593581,0.635366356,0.683056778,0.659577645,0.647361676,0.592710759,0.664161141,0.716384911,0.619599933,0.630050705,0.636429487,0.647100908,1,0.672696272,0.539393771,0.667902156,0.681221374,0.661934585,0.591647629,0.615848888,0.676517524,0.662145205,0.659126316,0.591677718,0.644743968,0.699364796,0.714088148,0.64620828,0.624093163,0.675935811,0.687399565,0.661904497,0.667490946,0.638455452,0.746303003,0.691973032,0.715903494,0.643309745,0.639468435,0.628516187,0.630151,0.688031426,0.698111105,0.638014153,0.615427648,0.633220037,0.618105533,0.646097955,0.617032373,0.639067254,0.665314537,0.66525436,0.660319831,0.515493397,0.718751881,0.607975706,0.636038335,0.648755781,0.652436619,0.642156349,0.660069092,0.579050538,0.598537917,0.632999387,0.668433722,0.670409539,0.645155179
0.65456288,0.603683067,0.600313144,0.45549674,0.562963169,0.584245835,0.64,0.554869337,0.641755168,0.677289798,0.688673316,0.655786482,0.634032429,0.610964507,0.716745974,0.608025854,0.694329972,0.474462584,0.691421407,0.627262495,0.553996768,0.68151223,0.62502591,0.686737616,0.589350866,0.65604725,0.714007912,0.693617875,0.609279545,0.622067198,0.594335544,0.796430601,0.479276759,0.66782192,0.62352148,0.689044409,0.615227057,0.625336825,0.695734106,0.660199476,0.600694266,0.583002173,0.634975205,0.61280994,0.68259542,0.468434836,0.538059843,0.616591074,0.665013651,0.611997548,0.661573522,0.618566891,0.603983953,0.602429375,0.575951412,0.551529504,0.653630133,0.64619825,0.621425308,0.595137906,0.672686243,0.647100908,0.658634869,0.560355491,0.597394551,0.582761464,0.679546442,0.635827715,0.620703182,0.643971694,0.620963949,0.6093999,0.527649189,0.761557921,0.632046582,0.629569287,0.653810665,0.62844598,0.618787541,0.675915752,0.589180364,0.60190784,0.665113947,0.581206887,0.584596869,0.617363348
0.688081574,0.583724299,0.649879088,0.655967014,0.660741071,0.660660835,0.60362289,0.612829999,0.693617875,0.650250181,0.710748314,0.706836797,0.689565944,0.683628462,0.548851619,0.658454338,0.633861927,0.642407088,0.588217529,0.651383518,0.550717111,0.613150944,0.659306848,0.733505321,0.663388867,0.671442581,0.678152337,0.737156071,0.631404692,0.607414052,0.647662562,0.96126595,0.568559648,0.672686243,0.678052042,0.619379283,0.688603109,0.709284003,0.620643004,0.674972976,0.787103137,0.675424305,0.643831281,0.625567504,0.736564328,0.714780186,0.629378726,0.573183262,0.654091492,0.719935365,0.648264334,0.648083802,0.648655486,0.656207723,0.610763916,0.694650917,0.662385914,0.655676158,0.620653034,0.569983841,0.679446147,0.618476626,0.69200312,0.67316766,0.666578258,0.799589904,0.693437343,0.767224606,0.599460634,0.678553519,0.626530339,0.637101465,0.708040341,0.771106034,0.69222377,0.614575138,0.697509333,0.583383295,0.668203042,0.708882822,0.63314983,0.658003009,0.6434301,0.666357609,0.608627626,0.62993035
0.656709199,0.673508664,0.654913913,0.695784254,0.630772831,0.61024238,0.669125759,0.653951078,0.66310804,0.653820694,0.724438625,0.653449602,0.60767482,0.718992589,0.741769655,0.64213629,0.626379896,0.708722349,0.679887446,0.645676715,0.611596367,0.514169499,0.693266841,0.677319886,0.622719117,0.653931019,0.620061292,0.694259765,0.663178247,0.606370981,0.63870619,0.47777233,0.626771048,0.633460746,0.682284504,0.57749596,0.641153396,0.708110548,0.676728144,0.686847941,0.576141974,0.629649524,0.647993537,0.698783084,0.727688193,0.822697944,0.619710258,0.627673706,0.653289129,0.681722851,0.637974035,0.63422299,0.629238313,0.687891012,0.681843205,0.664381791,0.645696774,0.643560484,0.614936201,0.612338552,0.719243328,0.6074642,0.659758177,0.660159358,0.663649635,0.623962779,0.577054661,0.541881094,0.604435282,0.672686243,0.603021118,0.632437733,0.736644565,0.666387697,0.706265114,0.587956762,0.702684571,0.673759403,0.695453279,0.638134507,0.628616482,0.650340447,0.618556862,0.558189112,0.535151279,0.640020059
0.696386026,0.558770825,0.601847663,0.746182649,0.674912799,0.632467822,0.683407812,0.616550956,0.618536803,0.624554522,0.747717167,0.653810665,0.650179974,0.594526105,0.824643673,0.616089597,0.599250014,0.681201315,0.717558366,0.688914025,0.550356048,0.667751713,0.666828996,0.713376052,0.626289631,0.62543712,0.661202429,0.69050872,0.622648911,0.633250125,0.643871399,0.362763693,0.688974202,0.676647908,0.654081462,0.58585056,0.666237254,0.663800078,0.661262607,0.672866774,0.475174681,0.636459575,0.656839583,0.673288015,0.713817351,0.78767482,0.644834234,0.577265281,0.701701677,0.670700396,0.693798406,0.648154009,0.63100351,0.525342397,0.73909177,0.546153675,0.642768151,0.684691592,0.702183095,0.689716387,0.724609127,0.577455842,0.656037221,0.632207054,0.673488605,0.695744136,0.564307127,0.816108542,0.628094946,0.681963559,0.634192901,0.618637098,0.702022622,0.544478743,0.670158801,0.621535633,0.707227949,0.714740068,0.70441968,0.619038279,0.646128044,0.65947735,0.657862595,0.609520254,0.576813952,0.612920265
0.678964729,0.706495793,0.657692093,0.866125815,0.652125703,0.627443027,0.679355881,0.669516911,0.625507327,0.605297821,0.725812671,0.671763526,0.640722126,0.620663063,0.664492116,0.579241099,0.388920711,0.688392489,0.680098067,0.657912743,0.608276592,0.702383685,0.653499749,0.627974592,0.642768151,0.6494077,0.641414164,0.649578202,0.726574915,0.675394216,0.63956873,0.608717892,0.578739622,0.636880816,0.651233075,0.585549674,0.679787151,0.660229565,0.551429208,0.675604836,0.483398897,0.663729871,0.658965844,0.680338775,0.69092996,0.632989358,0.627493174,0.702804926,0.648053714,0.697729983,0.701230289,0.627723854,0.62416337,0.338391932,0.675644955,0.671753496,0.647813005,0.641654873,0.649247228,0.622337995,0.722934195,0.644994707,0.660089151,0.660520421,0.683267398,0.723014431,0.674190673,0.762370313,0.64920711,0.699786037,0.641985847,0.604385134,0.637883769,0.553625676,0.597946175,0.642477294,0.657842536,0.552131275,0.640060177,0.597705466,0.641564607,0.63571739,0.666136959,0.573634591,0.637031259,0.644583496
0.611897253,0.619198752,0.621325013,0.6691057,0.61217808,0.648535131,0.738730707,0.671984176,0.683638491,0.590203377,0.724187887,0.696235583,0.61195743,0.613903159,0.584255864,0.559041623,0.543305288,0.684069761,0.682535243,0.644954589,0.625978715,0.780854739,0.611506101,0.494060289,0.59911963,0.683889229,0.641163426,0.704369533,0.587886555,0.658013038,0.619800524,0.629569287,0.608697833,0.610753886,0.641674932,0.621355101,0.677931688,0.609971583,0.671522817,0.704259208,0.387326015,0.638365186,0.632227113,0.660049033,0.587455285,0.57643283,0.61239873,0.613522037,0.608045913,0.678603666,0.696566557,0.58070541,0.617423525,0.650220092,0.579341394,0.646138073,0.649748705,0.706425586,0.735190282,0.580865883,0.721429765,0.663569399,0.656127486,0.649989413,0.646519195,0.693748259,0.643961665,0.561348415,0.652546944,0.705392545,0.670369421,0.626119129,0.628466039,0.6192489,0.515704017,0.621014097,0.655856689,0.750164373,0.708180754,0.57942163,0.583593915,0.601386304,0.662566446,0.634413551,0.748599766,0.634413551
